Nombre de parties total, 50
Nombre de parties nulles, 0
Nombre de tour max, 15
J1 : c, 1.41421
J1 : n_simul, 1000
J1 : Nombre de victoires, 37
J1 : Type de joueur, MonteCarlo
J1 : Temps total de reflexion, 4854.404114484787
J1 : Temps de reflexion par partie, 73.75375652313232|73.1199221611023|90.98572731018066|91.56618237495422|85.61207389831543|100.31415462493896|85.69802689552307|94.15756154060364|93.87672019004822|90.14296627044678|92.26394486427307|90.38716101646423|94.15324592590332|86.64125847816467|85.59630346298218|98.47021675109863|128.03661704063416|248.73174118995667|176.5149986743927|84.27749943733215|93.73286581039429|88.75693202018738|88.43301296234131|98.53842568397522|82.56971526145935|98.06093001365662|91.71720957756042|96.7288544178009|83.71804189682007|87.84548687934875|93.81418418884277|92.08702969551086|91.01798987388611|92.38425421714783|99.80028820037842|100.08930897712708|100.52395176887512|94.31848978996277|103.64131355285645|92.58985471725464|100.8480920791626|95.73464965820312|95.92370986938477|95.11643600463867|90.6265320777893|96.24209666252136|87.09205389022827|91.32764172554016|87.57987856864929|79.2448058128357|
J1 : Temps de reflexion par coup, 37.88432812690735|22.383379459381104|10.118454217910767|2.1471874713897705|0.8175339698791504|0.24647164344787598|0.10293126106262207|0.05347037315368652|#39.8772988319397|26.287624835968018|4.895269870758057|1.4549851417541504|0.23715496063232422|0.14777064323425293|0.1450810432434082|0.0747368335723877|#44.48176145553589|34.72843527793884|7.9495460987091064|2.233490228652954|0.9689977169036865|0.4081711769104004|0.14009737968444824|0.07522797584533691|#48.353211641311646|26.81737732887268|13.733404874801636|1.9045393466949463|0.3293888568878174|0.22251391410827637|0.14905428886413574|0.05669212341308594|#45.518797397613525|25.78640341758728|11.504202127456665|1.2065563201904297|1.121938943862915|0.32467031478881836|0.1495053768157959|#48.365676403045654|31.9758563041687|14.616968631744385|4.173505544662476|0.6669032573699951|0.3001382350921631|0.1458759307861328|0.06923031806945801|#41.423680543899536|26.417522192001343|12.828831195831299|4.076860189437866|0.501605749130249|0.24933886528015137|0.11857461929321289|0.08161354064941406|#46.78074359893799|29.766443729400635|13.036306381225586|3.469602346420288|0.6842684745788574|0.22759056091308594|0.12894225120544434|0.06366419792175293|#45.46556782722473|30.278207302093506|13.708768844604492|3.4349148273468018|0.5431935787200928|0.2944674491882324|0.15160036087036133|#42.73396134376526|29.005861043930054|14.22215723991394|3.180466651916504|0.6059191226959229|0.2822270393371582|0.11237382888793945|#44.65388202667236|26.316468715667725|15.752927303314209|4.1653218269348145|0.8443849086761475|0.36788225173950195|0.11195111274719238|0.051126718521118164|#46.480976581573486|27.274287462234497|12.340753555297852|3.1639487743377686|0.520176887512207|0.3981795310974121|0.13700246810913086|0.07183575630187988|#47.55607271194458|29.82762098312378|12.281101942062378|3.4391262531280518|0.6891438961029053|0.25501108169555664|0.10516905784606934|#46.09933304786682|29.37046527862549|7.264005422592163|2.7371816635131836|0.6722843647003174|0.30222439765930176|0.13459157943725586|0.0611727237701416|#49.083730697631836|24.568023681640625|9.372182846069336|1.8243060111999512|0.4944627285003662|0.15216803550720215|0.10142946243286133|#43.700613260269165|32.679346323013306|16.439921855926514|4.449101448059082|0.7532908916473389|0.2469344139099121|0.13239836692810059|0.06861019134521484|#58.02535367012024|46.77666425704956|19.393005847930908|2.7783124446868896|0.4128854274749756|0.3109891414642334|0.22332453727722168|0.11608171463012695|#94.91383457183838|91.75037288665771|47.697314739227295|10.334815263748169|2.297684669494629|1.0255942344665527|0.4496915340423584|0.2624332904815674|#135.5382423400879|26.99109148979187|11.470276355743408|1.6590468883514404|0.494823694229126|0.19321370124816895|0.1059424877166748|0.062361717224121094|#41.233527183532715|25.564470529556274|12.060467958450317|4.097580432891846|0.840033769607544|0.2802109718322754|0.13303685188293457|0.06817173957824707|#47.8169219493866|28.016963005065918|15.065462827682495|2.201247215270996|0.33274269104003906|0.13698244094848633|0.09745407104492188|0.06509160995483398|#45.8528151512146|24.565128564834595|13.909318685531616|3.0283539295196533|0.8086347579956055|0.4448843002319336|0.147796630859375|#50.94370222091675|27.087270498275757|7.085322380065918|1.9278771877288818|0.7888946533203125|0.40701818466186523|0.1247243881225586|0.06820344924926758|#54.920613050460815|24.751338720321655|14.01051664352417|3.6244161128997803|0.6312637329101562|0.3981966972351074|0.1263725757598877|0.07570815086364746|#46.82035207748413|27.988110542297363|5.004083871841431|1.4480540752410889|0.7304561138153076|0.3722200393676758|0.13652300834655762|0.0699155330657959|#46.94215774536133|30.100462675094604|15.427418947219849|4.247272491455078|0.7512490749359131|0.44509363174438477|0.14727544784545898|#46.86367917060852|30.08389973640442|13.510629177093506|0.6550636291503906|0.23887324333190918|0.18246197700500488|0.11888647079467773|0.06371617317199707|#47.17763900756836|29.732686281204224|15.061294555664062|3.596189260482788|0.7321703433990479|0.2711665630340576|0.15770840644836426|#47.231834411621094|26.056714057922363|6.669511795043945|2.6736679077148438|0.6629695892333984|0.25867438316345215|0.09188151359558105|0.07278823852539062|#44.60783767700195|27.229838609695435|12.967738151550293|2.0852556228637695|0.5236067771911621|0.17999768257141113|0.15519404411315918|0.09601831436157227|#46.9659366607666|29.648343086242676|13.492141008377075|2.716787338256836|0.4255332946777344|0.41321372985839844|0.15222907066345215|#46.73872947692871|27.69461750984192|13.996939182281494|2.769954204559326|0.4535839557647705|0.2506742477416992|0.1252603530883789|0.05727076530456543|#44.9763343334198|30.280235528945923|13.743876695632935|1.2867600917816162|0.37483882904052734|0.15935683250427246|0.1236572265625|0.07293033599853516|#47.374109745025635|28.79557156562805|13.997900247573853|1.7133760452270508|0.2084043025970459|0.1795344352722168|0.11535787582397461|#49.088566303253174|31.294010400772095|15.801464796066284|2.6154263019561768|0.5637726783752441|0.25908780097961426|0.12441515922546387|0.05354475975036621|#47.058438539505005|28.886348247528076|16.115559101104736|6.57699728012085|1.0433688163757324|0.21954870223999023|0.1274423599243164|0.06160593032836914|#49.81621479988098|31.674025297164917|13.859925031661987|3.713812828063965|1.0682251453399658|0.2933828830718994|0.09836578369140625|#47.76845192909241|28.916965007781982|11.50675916671753|4.777482986450195|0.8503751754760742|0.3555259704589844|0.1429295539855957|#49.272703886032104|30.728707790374756|16.647310733795166|5.730600118637085|0.7301526069641113|0.31926441192626953|0.13915538787841797|0.07341861724853516|#48.47532534599304|28.683385133743286|10.841753721237183|3.13507080078125|0.8343851566314697|0.40599799156188965|0.14443421363830566|0.06950235366821289|#50.84662461280823|30.308493614196777|14.052963495254517|4.785049915313721|0.4118967056274414|0.22364425659179688|0.15041685104370117|0.06900262832641602|#47.87694311141968|30.790740728378296|12.43062162399292|3.400071859359741|0.7072925567626953|0.3683161735534668|0.16066360473632812|#48.23224329948425|29.59925937652588|14.15518569946289|2.826768398284912|0.41478919982910156|0.512249231338501|0.10759735107421875|0.07561731338500977|#46.75301432609558|30.911555528640747|13.024941682815552|3.4077208042144775|0.6631646156311035|0.23671388626098633|0.11932516098022461|#46.8675582408905|29.210627555847168|12.237626791000366|1.5294432640075684|0.35433197021484375|0.2303473949432373|0.13068032264709473|0.06591653823852539|#46.72632813453674|28.294838666915894|16.125707626342773|3.8668053150177|0.7179608345031738|0.34176135063171387|0.1098945140838623|0.05880022048950195|#46.70561671257019|28.83395504951477|7.838409662246704|2.8647451400756836|0.5509681701660156|0.19082212448120117|0.10753703117370605|#45.43352746963501|29.442880153656006|12.384926319122314|2.896538019180298|0.7657217979431152|0.2080390453338623|0.13511013984680176|0.060898780822753906|#46.32283854484558|27.204328775405884|9.732200860977173|3.3748724460601807|0.5810370445251465|0.18919110298156738|0.11519265174865723|0.06021714210510254|#39.52327489852905|23.555261373519897|11.200452089309692|4.172642469406128|0.46092700958251953|0.16980552673339844|0.1036984920501709|0.058743953704833984|#
J2 : c, 1.0
