Nombre de parties total, 50
Nombre de parties nulles, 2
Nombre de tour max, 15
J1 : c, 1.41421
J1 : n_simul, 2000
J1 : Nombre de victoires, 13
J1 : Type de joueur, MonteCarlo
J1 : Temps total de reflexion, 3889.4027440547943
J1 : Temps de reflexion par partie, 164.54089832305908|172.93808889389038|188.18533182144165|178.50350308418274|163.7014980316162|172.13219451904297|158.52369952201843|173.69083833694458|262.45305252075195|500.69584345817566|169.99957060813904|197.56423091888428|182.47372198104858|248.2677240371704|179.9500482082367|196.52271604537964|194.4406545162201|191.6820604801178|193.13706874847412|
J1 : Temps de reflexion par coup, 73.68711185455322|54.048439502716064|25.8046133518219|7.382225036621094|2.7227635383605957|0.6499886512756348|0.2457563877105713|#84.39530181884766|53.12225842475891|25.400264263153076|6.730142831802368|2.2819740772247314|0.37044548988342285|0.3283414840698242|0.2242882251739502|0.08507227897644043|#89.33611702919006|58.06372952461243|28.123931407928467|8.844539403915405|2.6698496341705322|0.8679773807525635|0.2791874408721924|#86.0807797908783|55.02325177192688|26.943232774734497|8.545920133590698|1.1743628978729248|0.511127233505249|0.22482848167419434|#82.2243185043335|50.26749229431152|24.324602127075195|5.7022223472595215|0.5130918025970459|0.388599157333374|0.2811717987060547|#78.17947030067444|51.22717046737671|25.59124493598938|13.84778904914856|2.3431010246276855|0.5471866130828857|0.2812180519104004|0.11501407623291016|#78.67359757423401|51.11411237716675|22.461992502212524|6.273997068405151|#80.40603876113892|50.806169509887695|25.076425790786743|14.704990863800049|1.9536077976226807|0.49410367012023926|0.24950194358825684|#103.99369144439697|82.51028275489807|51.62586283683777|20.081156730651855|3.0524885654449463|0.7683305740356445|0.42123961448669434|#170.73724055290222|182.64149236679077|86.4017825126648|51.095770835876465|7.342482328414917|2.062235116958618|0.4148397445678711|#85.80400609970093|45.22585940361023|27.80469536781311|9.05660343170166|1.2725574970245361|0.6047546863555908|0.2310941219329834|#92.98716449737549|60.113399267196655|29.869597673416138|11.663082361221313|1.9000661373138428|0.7421669960021973|0.2887539863586426|#88.4652042388916|54.70602798461914|29.382242918014526|7.972215175628662|1.1696703433990479|0.459531307220459|0.3188300132751465|#139.82715106010437|62.80428671836853|27.906063079833984|14.305258989334106|2.107696533203125|1.06046724319458|0.25680041313171387|#94.251540184021|55.284300088882446|22.856466054916382|4.221684455871582|1.0399580001831055|1.549072027206421|0.41277599334716797|0.23450279235839844|0.09974861145019531|#88.25141882896423|61.282630920410156|33.111687421798706|11.1229829788208|2.0180046558380127|0.47214221954345703|0.26384902000427246|#97.53850364685059|60.787307262420654|26.6825749874115|3.3936235904693604|4.77197003364563|0.49970364570617676|0.6129252910614014|0.15404605865478516|#100.77774262428284|52.62563133239746|21.186801195144653|12.777435541152954|3.4292612075805664|0.5430781841278076|0.22895216941833496|0.1131582260131836|#93.32936382293701|58.31136631965637|29.30560612678528|9.741496801376343|1.7867817878723145|0.43737220764160156|0.2250816822052002|#
J2 : c, 1.41421
J2 : n_simul, 100
J2 : Nombre de victoires, 4
J2 : Type de joueur, MonteCarlo
J2 : Temps total de reflexion, 182.3953366279602
J2 : Temps de reflexion par partie, 8.213985919952393|7.365336894989014|8.79505205154419|8.2533438205719|7.571792125701904|8.186622619628906|7.238753795623779|8.503969430923462|14.14250659942627|27.413992166519165|7.356281280517578|8.957287788391113|8.118442058563232|10.082055807113647|7.267689943313599|9.441605567932129|8.934697389602661|7.517271041870117|9.034650325775146|
