Nombre de parties total, 50
Nombre de parties nulles, 5
Nombre de tour max, 15
J1 : c, 1.41421
J1 : n_simul, 2000
J1 : Nombre de victoires, 35
J1 : Type de joueur, MonteCarlo
J1 : Temps total de reflexion, 10669.260543823242
J1 : Temps de reflexion par partie, 640.5673990249634|682.4777121543884|708.8374876976013|678.2332072257996|605.7476353645325|649.2317230701447|614.8845717906952|631.2500622272491|749.4156978130341|977.1021280288696|637.4338262081146|366.9600131511688|349.86273765563965|417.3853611946106|334.7499210834503|372.57885670661926|353.1186385154724|366.9807493686676|365.13937973976135|167.30343580245972|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0|0|0|0|0|0|0|0|0|0|0|
J1 : Temps de reflexion par coup, 73.68711185455322|54.048439502716064|25.8046133518219|7.382225036621094|2.7227635383605957|0.6499886512756348|0.2457563877105713|67.87454724311829|42.08579659461975|19.529600381851196|6.123836994171143|2.0691375732421875|0.571599006652832|0.2025899887084961|146.6145076751709|113.54749250411987|52.31153154373169|17.03452157974243|5.883101940155029|1.5738706588745117|0.6043670177459717|#84.39530181884766|53.12225842475891|25.400264263153076|6.730142831802368|2.2819740772247314|0.37044548988342285|0.3283414840698242|0.2242882251739502|0.08507227897644043|68.2169623374939|40.24166178703308|18.133503437042236|4.954139471054077|1.6733572483062744|0.351132869720459|0.2329084873199463|0.15625238418579102|0.08046650886535645|191.1440191268921|112.63760542869568|50.331547498703|14.115572214126587|4.758697509765625|1.0809330940246582|0.7429060935974121|0.46032142639160156|0.22763633728027344|#89.33611702919006|58.06372952461243|28.123931407928467|8.844539403915405|2.6698496341705322|0.8679773807525635|0.2791874408721924|66.8287558555603|40.70540714263916|19.97368049621582|6.183575868606567|2.0136923789978027|0.6522853374481201|0.21236753463745117|188.75584411621094|114.22123718261719|55.579779863357544|17.252087831497192|5.694963693618774|1.916229486465454|0.6622490882873535|#86.0807797908783|55.02325177192688|26.943232774734497|8.545920133590698|1.1743628978729248|0.511127233505249|0.22482848167419434|68.12524366378784|40.22955393791199|22.836806535720825|6.984187126159668|1.0013530254364014|0.4217400550842285|0.20534014701843262|190.33884644508362|105.32778644561768|46.3305721282959|14.43858027458191|2.1149027347564697|0.9256443977355957|0.44914722442626953|#82.2243185043335|50.26749229431152|24.324602127075195|5.7022223472595215|0.5130918025970459|0.388599157333374|0.2811717987060547|73.88592290878296|51.617557764053345|23.840418815612793|5.572429418563843|0.45792484283447266|0.36171507835388184|0.2449648380279541|143.87040042877197|87.1377022266388|42.88835644721985|10.281025648117065|0.8256096839904785|0.6256844997406006|0.43642473220825195|#78.17947030067444|51.22717046737671|25.59124493598938|13.84778904914856|2.3431010246276855|0.5471866130828857|0.2812180519104004|0.11501407623291016|88.49670124053955|49.2676305770874|24.89797329902649|13.042008638381958|2.0729706287384033|0.5582997798919678|0.2718667984008789|0.13912105560302734|143.18079948425293|84.30607223510742|42.90680766105652|22.814705848693848|3.4813332557678223|0.9218852519989014|0.47465062141418457|0.26670217514038086|#78.67359757423401|51.11411237716675|22.461992502212524|6.273997068405151|95.67202687263489|50.956506967544556|22.55682635307312|6.5950822830200195|144.43762350082397|84.73258209228516|39.76858139038086|11.641642808914185|#80.40603876113892|50.806169509887695|25.076425790786743|14.704990863800049|1.9536077976226807|0.49410367012023926|0.24950194358825684|86.92897129058838|46.47171378135681|22.410395860671997|9.669745683670044|1.7393903732299805|0.41747450828552246|0.22040987014770508|143.7394609451294|83.91814494132996|40.27991795539856|17.40469479560852|3.091932773590088|0.8231201171875|0.4438509941101074|#103.99369144439697|82.51028275489807|51.62586283683777|20.081156730651855|3.0524885654449463|0.7683305740356445|0.42123961448669434|86.90638899803162|53.452301263809204|30.14052963256836|10.460196256637573|1.6435449123382568|0.42958593368530273|0.24363422393798828|143.3899223804474|87.58290386199951|49.46314525604248|19.11620783805847|2.982879400253296|0.7095541954040527|0.4418511390686035|#170.73724055290222|182.64149236679077|86.4017825126648|51.095770835876465|7.342482328414917|2.062235116958618|0.4148397445678711|80.56170773506165|49.83113622665405|23.641539573669434|13.28777265548706|4.900883436203003|0.8822321891784668|0.2624368667602539|143.10078406333923|85.36812472343445|40.57158303260803|23.504950046539307|8.584414720535278|1.4316933155059814|0.47702598571777344|#85.80400609970093|45.22585940361023|27.80469536781311|9.05660343170166|1.2725574970245361|0.6047546863555908|0.2310941219329834|84.6351249217987|49.65729570388794|28.467432260513306|8.373384237289429|1.3665246963500977|0.515742301940918|0.23932600021362305|144.16121363639832|84.57392358779907|45.97901749610901|15.455628871917725|2.375323534011841|1.186394453048706|0.4479238986968994|#92.98716449737549|60.113399267196655|29.869597673416138|11.663082361221313|1.9000661373138428|0.7421669960021973|0.2887539863586426|81.9823637008667|48.54670000076294|25.57788896560669|10.913868188858032|1.5761370658874512|0.6072640419006348|0.1915602684020996|#88.4652042388916|54.70602798461914|29.382242918014526|7.972215175628662|1.1696703433990479|0.459531307220459|0.3188300132751465|85.9358594417572|48.91808581352234|23.97359323501587|6.893556118011475|0.9864156246185303|0.4201393127441406|0.2613661289215088|#139.82715106010437|62.80428671836853|27.906063079833984|14.305258989334106|2.107696533203125|1.06046724319458|0.25680041313171387|85.98931312561035|47.808025598526|21.336709022521973|10.611957788467407|2.115739345550537|0.9869892597198486|0.2689030170440674|#94.251540184021|55.284300088882446|22.856466054916382|4.221684455871582|1.0399580001831055|1.549072027206421|0.41277599334716797|0.23450279235839844|0.09974861145019531|81.46227598190308|46.76651930809021|19.67681121826172|3.9975318908691406|1.1320812702178955|1.1713767051696777|0.3315873146057129|0.1616222858428955|0.1000669002532959|#88.25141882896423|61.282630920410156|33.111687421798706|11.1229829788208|2.0180046558380127|0.47214221954345703|0.26384902000427246|86.48406434059143|50.16354203224182|27.6757595539093|9.220769882202148|1.7937123775482178|0.42919111251831055|0.28910136222839355|#97.53850364685059|60.787307262420654|26.6825749874115|3.3936235904693604|4.77197003364563|0.49970364570617676|0.6129252910614014|0.15404605865478516|84.15518927574158|47.20975923538208|19.691234827041626|2.77356219291687|4.00551962852478|0.38213276863098145|0.3620631694793701|0.09852290153503418|#100.77774262428284|52.62563133239746|21.186801195144653|12.777435541152954|3.4292612075805664|0.5430781841278076|0.22895216941833496|0.1131582260131836|84.52633786201477|49.458364725112915|23.471271753311157|13.327432632446289|3.4958441257476807|0.6595604419708252|0.20586514472961426|0.15401220321655273|#93.32936382293701|58.31136631965637|29.30560612678528|9.741496801376343|1.7867817878723145|0.43737220764160156|0.2250816822052002|84.6133885383606|47.18220019340515|28.211064100265503|9.345155477523804|2.0517711639404297|0.3968226909637451|0.20190882682800293|#86.19234490394592|47.55962419509888|24.162925004959106|6.43550443649292|1.9718976020812988|0.7443394660949707|0.2368001937866211|###############################
J2 : c, 1.41421
