Nombre de parties total, 50
Nombre de parties nulles, 0
Nombre de tour max, 16
J1 : c, 1.41421
J1 : n_simul, 1000
J1 : Nombre de victoires, 11
J1 : Type de joueur, MonteCarlo
J1 : Temps total de reflexion, 3550.57071852684
J1 : Temps de reflexion par partie, 513.1153869628906|525.4497873783112|451.10740399360657|457.27512311935425|291.9354965686798|293.33901476860046|144.52438139915466|152.88331508636475|155.02252769470215|128.3624165058136|146.41986727714539|138.82944798469543|152.30654978752136|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0|0|
J1 : Temps de reflexion par coup, 74.91306567192078|43.31519532203674|20.098975658416748|6.343400239944458|1.8126146793365479|0.3844883441925049|0.23644399642944336|73.21749877929688|43.17585277557373|20.0964093208313|6.421135187149048|1.8399040699005127|0.39154577255249023|0.21796774864196777|73.42004442214966|43.73195552825928|20.381362915039062|6.360058546066284|1.7502894401550293|0.3818843364715576|0.22374558448791504|4.76837158203125e-05|44.33071422576904|20.119516372680664|7.971033573150635|1.2588708400726318|0.5119202136993408|0.20944571495056152|#73.0203607082367|43.210623025894165|23.228851318359375|7.646754264831543|1.5785822868347168|0.4375741481781006|72.73261499404907|43.52508187294006|23.253310918807983|7.716135025024414|1.6159136295318604|0.4766411781311035|75.11393547058105|43.70784664154053|23.36670708656311|7.851977348327637|1.5195295810699463|0.4327964782714844|3.0517578125e-05|42.66699481010437|20.73284149169922|8.965672492980957|1.0676865577697754|1.273608922958374|0.30771660804748535|#73.01107144355774|43.87894535064697|20.935537338256836|8.865423202514648|1.0446357727050781|0.35866451263427734|0.22734665870666504|0.11910724639892578|73.2339768409729|43.5675995349884|20.922527551651|8.69212818145752|1.0464322566986084|0.40390753746032715|0.22460412979125977|0.12418580055236816|75.70497822761536|45.957266092300415|22.20527148246765|8.85364055633545|1.0020623207092285|0.3722107410430908|0.23136329650878906|0.12451791763305664|#74.1531765460968|44.37272047996521|22.648303508758545|8.715889930725098|1.7054717540740967|0.4063589572906494|0.22318243980407715|73.33008980751038|43.778117656707764|22.334155797958374|8.729066610336304|1.760096788406372|0.41118526458740234|0.21405792236328125|75.38988971710205|45.3680853843689|22.779773235321045|8.684639930725098|1.6545193195343018|0.3989136219024658|0.21742844581604004|#73.93195676803589|43.76296377182007|21.267945289611816|5.21303391456604|1.3317627906799316|0.4113273620605469|0.23779869079589844|74.00417280197144|43.1167094707489|21.457310676574707|5.2256999015808105|1.3016953468322754|0.4109623432159424|0.2621574401855469|#74.56413769721985|45.61190366744995|20.492983102798462|2.6079654693603516|0.6251945495605469|0.3575875759124756|0.20060062408447266|76.40523338317871|46.27864742279053|22.126065969467163|2.902127981185913|0.5996744632720947|0.3487417697906494|0.21815109252929688|#74.115549325943|43.548362255096436|21.021133422851562|3.9284090995788574|1.305607557296753|0.39240312576293945|0.21291661262512207|#73.93505716323853|44.366883993148804|22.105659246444702|9.293800830841064|2.814364433288574|0.36754941940307617|#74.55644750595093|44.01717734336853|24.902971267700195|9.123720407485962|1.724879264831543|0.4369511604309082|0.26038074493408203|#73.3632481098175|43.11400294303894|7.974334478378296|2.4055211544036865|0.8921453952789307|0.3945498466491699|0.2186145782470703|#73.59890556335449|42.69698619842529|20.70457673072815|7.025685548782349|1.7252352237701416|0.45622730255126953|0.2122507095336914|#73.60190963745117|42.68914437294006|18.914056539535522|3.1249325275421143|0.4994049072265625|#73.47727870941162|43.585344552993774|21.987438440322876|10.179356813430786|2.1732964515686035|0.49045729637145996|0.2374284267425537|0.12426233291625977|0.051686763763427734|#############
J2 : Nombre de victoires, 14
J2 : Type de joueur, RandomBot
J2 : Temps total de reflexion, 0.0
J2 : Temps de reflexion par partie, 0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0|0|
J2 : Temps de reflexion par coup, #########################
