Nombre de parties total, 100
Nombre de parties nulles, 4
Nombre de tour max, 16
J1 : c, 1.41421
J1 : n_simul, 100
J1 : Nombre de victoires, 57
J1 : Type de joueur, MonteCarlo
J1 : Temps total de reflexion, 1918.505633354187
J1 : Temps de reflexion par partie, 20.139082431793213|20.33078145980835|19.34638214111328|19.397735595703125|19.0692138671875|18.97450828552246|19.03108787536621|19.254342079162598|19.33872079849243|19.927894353866577|19.88237428665161|18.22770643234253|19.87249779701233|19.790558576583862|19.74674701690674|18.795173168182373|18.93192720413208|18.686349630355835|19.404266834259033|19.6843318939209|18.19643545150757|18.682847261428833|19.465286254882812|18.276034116744995|19.64536166191101|18.818411588668823|19.371349811553955|18.743056535720825|19.584216117858887|18.243709802627563|17.316452741622925|18.537902355194092|20.035752773284912|18.900962591171265|19.636743545532227|19.08111262321472|18.848090410232544|19.776917934417725|19.1617214679718|19.30293893814087|18.78058624267578|19.670727729797363|19.659785985946655|19.265255451202393|19.4297034740448|18.491304636001587|19.43363904953003|18.732279539108276|19.164416313171387|20.10647702217102|19.31333613395691|19.262835025787354|19.543261528015137|19.005674362182617|18.31541395187378|19.21251940727234|19.993995666503906|19.217909336090088|19.370718717575073|18.91875386238098|19.223666429519653|18.75671625137329|19.436591625213623|19.085755348205566|20.14185094833374|19.310265064239502|19.147648572921753|19.4844651222229|19.054075717926025|19.203574657440186|18.930517435073853|18.064416646957397|19.93967080116272|20.009846925735474|19.20939826965332|19.822299003601074|18.987857580184937|19.172154903411865|19.7922260761261|18.735877990722656|18.764127492904663|18.72157645225525|18.927990674972534|19.009262800216675|18.13052749633789|18.91111922264099|18.927388429641724|18.799205541610718|18.321171760559082|19.376023054122925|18.95149040222168|20.1352801322937|19.663756847381592|19.139180898666382|18.36502170562744|19.36689829826355|18.61031413078308|19.611000537872314|19.171952724456787|19.74789023399353|
J1 : Temps de reflexion par coup, 8.676099300384521|5.403223514556885|3.1090011596679688|2.0332326889038086|0.6836063861846924|0.08192038536071777|0.12819957733154297|0.023799419403076172|#8.823060035705566|5.5695037841796875|3.2912654876708984|1.6914668083190918|0.7331159114837646|0.15780329704284668|0.04442000389099121|0.01439046859741211|0.00575566291809082|#8.737998008728027|5.306610822677612|3.1590538024902344|1.4387176036834717|0.5427005290985107|0.11794209480285645|0.028734445571899414|0.014624834060668945|#8.681447982788086|5.444190263748169|3.205383062362671|1.3998429775238037|0.38051939010620117|0.16503691673278809|0.034826040267944336|0.01786661148071289|0.06862235069274902|#8.712635040283203|5.48051643371582|2.8269309997558594|1.3426861763000488|0.5293397903442383|0.1183156967163086|0.03902840614318848|0.01292562484741211|0.0068356990814208984|#8.767735481262207|5.335618257522583|2.943786144256592|1.5307271480560303|0.29588747024536133|0.062007904052734375|0.024655580520629883|0.014090299606323242|#8.622516632080078|5.368151903152466|3.130338430404663|1.61781907081604|0.2100837230682373|0.05816984176635742|0.02400827407836914|#8.632304906845093|5.43385648727417|2.824551582336426|1.618250846862793|0.5713644027709961|0.12188982963562012|0.028037071228027344|0.017590045928955078|0.006496906280517578|#8.707112073898315|5.32545280456543|3.1753082275390625|1.5184423923492432|0.47800421714782715|0.07227945327758789|0.039682626724243164|0.0170590877532959|0.005379915237426758|#8.744056224822998|5.376274824142456|2.854466199874878|2.05039119720459|0.7939677238464355|0.0845482349395752|0.02418994903564453|#8.658706188201904|5.4139673709869385|3.5881643295288086|1.62095308303833|0.399075984954834|0.13996481895446777|0.03198671340942383|0.02195000648498535|0.007605791091918945|#8.736818790435791|5.317326307296753|2.9641973972320557|0.8983869552612305|0.18491506576538086|0.08586382865905762|0.02610468864440918|0.014093399047851562|#8.679285049438477|5.44806432723999|3.1255433559417725|1.744316577911377|0.6312072277069092|0.18400120735168457|0.03631997108459473|0.017281293869018555|0.006478786468505859|#8.633907318115234|5.373199224472046|2.937638998031616|1.8764536380767822|0.7129418849945068|0.1929483413696289|0.04278421401977539|0.013945341110229492|0.006739616394042969|#8.746419906616211|5.718869924545288|3.1313767433166504|1.5215022563934326|0.5018854141235352|0.10496878623962402|0.02172398567199707|#8.62959337234497|5.389593601226807|2.983790397644043|1.3221051692962646|0.37594175338745117|0.0494384765625|0.02573251724243164|0.01362919807434082|0.005348682403564453|#8.636925458908081|5.330087661743164|3.134664535522461|1.4291605949401855|0.26072216033935547|0.08600187301635742|0.031991004943847656|0.014982938766479492|0.0073909759521484375|#8.650923013687134|5.502608299255371|2.7310783863067627|1.4396929740905762|0.28305697441101074|0.0562589168548584|0.02273106575012207|#8.664763927459717|5.417418718338013|3.0877740383148193|1.7845995426177979|0.36617231369018555|0.053601741790771484|0.029936552047729492|#8.734243392944336|5.363417387008667|2.80413818359375|1.9325766563415527|0.6794760227203369|0.12796235084533691|0.023920536041259766|0.01859736442565918|#8.720033645629883|5.406362771987915|3.1163439750671387|0.9536950588226318|#8.72545075416565|5.3936169147491455|3.1161229610443115|1.1077501773834229|0.2682685852050781|0.03337216377258301|0.02629995346069336|0.011965751647949219|#8.816802501678467|5.364580869674683|3.249298095703125|1.6666545867919922|0.27031755447387695|0.047101736068725586|0.034838199615478516|0.015692710876464844|#8.697283506393433|5.42471170425415|3.096677541732788|1.057361364364624|#8.844050168991089|5.324414014816284|3.2540383338928223|1.4696471691131592|0.5513749122619629|0.15772271156311035|0.024345874786376953|0.012784719467163086|0.006983757019042969|#8.750531673431396|5.323099851608276|3.096754312515259|1.3459534645080566|0.21304106712341309|0.08903121948242188|#8.785041332244873|5.448895692825317|3.0824575424194336|1.7360053062438965|0.24763226509094238|0.04907035827636719|0.022247314453125|#8.758883237838745|5.345300674438477|2.903651475906372|1.0104360580444336|0.5612068176269531|0.11175274848937988|0.03009629249572754|0.015129804611206055|0.00659942626953125|#8.674559116363525|5.3847975730896|3.2653138637542725|1.6539123058319092|0.5478558540344238|0.05777740478515625|#8.659475088119507|5.732312202453613|2.932356834411621|0.5794916152954102|0.2688586711883545|0.048844099044799805|0.022371292114257812|#8.748192548751831|5.398974180221558|2.594343900680542|0.5749421119689941|#8.671946287155151|5.466852903366089|3.1236486434936523|0.9164283275604248|0.29108524322509766|0.04456686973571777|0.023374080657958984|#8.770131826400757|5.50795841217041|3.0713913440704346|1.8172085285186768|0.6309788227081299|0.18335318565368652|0.03511834144592285|0.013054847717285156|0.006557464599609375|#8.907888650894165|5.6214377880096436|3.178856372833252|1.192779779434204|#8.74533486366272|5.429396867752075|3.424480676651001|1.6924118995666504|0.26884984970092773|0.05525469779968262|0.021014690399169922|#8.650288581848145|5.338637113571167|2.839404821395874|1.4907054901123047|0.5378851890563965|0.16965150833129883|0.029951810836791992|0.01596522331237793|0.008622884750366211|#8.701451063156128|5.5820441246032715|2.887455701828003|1.2024638652801514|0.38184094429016113|0.0695650577545166|0.0232696533203125|#8.706324815750122|5.430626392364502|3.139230251312256|1.6453619003295898|0.7082335948944092|0.12105298042297363|0.02608799934387207|#8.71869969367981|5.673283576965332|2.913764476776123|1.5453004837036133|0.21443676948547363|0.05304145812988281|0.025327205657958984|0.013458728790283203|0.004409074783325195|#8.622533559799194|5.562896490097046|3.242255449295044|1.423304557800293|0.3667731285095215|0.05077219009399414|0.02009725570678711|0.014306306838989258|#8.679145097732544|5.457562446594238|3.2068846225738525|1.1781179904937744|0.14139747619628906|0.06462383270263672|0.03844428062438965|0.01441049575805664|#8.736461639404297|5.3168346881866455|3.3964333534240723|1.6130313873291016|0.48236513137817383|0.0781407356262207|0.027859926223754883|0.014767885208129883|0.0048329830169677734|#8.702966690063477|5.371545314788818|3.2350151538848877|1.4981272220611572|0.6827664375305176|0.1051783561706543|0.048464298248291016|0.01572251319885254|#8.781777381896973|5.41969108581543|3.189303159713745|1.3656744956970215|0.4700126647949219|0.03879666328430176|#8.799076080322266|5.498966693878174|3.162252902984619|1.248744249343872|0.5435967445373535|0.12141704559326172|0.025646686553955078|0.018268346786499023|0.011734724044799805|#8.733688354492188|5.426501035690308|3.16977858543396|0.830826997756958|0.17773127555847168|0.11061549186706543|0.028137683868408203|0.014025211334228516|#8.995910167694092|5.373445987701416|3.051104784011841|1.6991372108459473|0.2174243927001953|0.05809354782104492|0.024228811264038086|0.014294147491455078|#8.722939252853394|5.376958608627319|2.9833009243011475|1.2106285095214844|0.3242483139038086|0.07439899444580078|0.02717447280883789|0.012630462646484375|#8.719526767730713|5.469234943389893|2.9409425258636475|1.310239315032959|0.5817046165466309|0.08075666427612305|0.042176008224487305|0.012269258499145508|0.007566213607788086|#8.750389575958252|5.434971809387207|3.22724986076355|1.7419867515563965|0.7156331539154053|0.1735382080078125|0.04226326942443848|0.013302803039550781|0.007141590118408203|#8.69326400756836|5.3526999950408936|3.068472146987915|1.719923973083496|0.3349721431732178|0.10242438316345215|0.029337406158447266|0.01224207878112793|#8.741873502731323|5.3883562088012695|3.219944953918457|1.4521822929382324|0.3673865795135498|0.06937909126281738|0.0237123966217041|#8.708529233932495|5.493352651596069|3.0454936027526855|1.6565797328948975|0.48714232444763184|0.11107659339904785|0.0269315242767334|0.014155864715576172|#8.754784345626831|5.366321325302124|2.8930394649505615|1.5585200786590576|0.3636023998260498|0.04559779167175293|0.023808956146240234|#8.76918625831604|5.484126329421997|2.428619146347046|1.2858688831329346|0.24651741981506348|0.061922550201416016|0.02609562873840332|0.013077735900878906|#8.770384073257446|5.320967197418213|3.2068471908569336|1.4777343273162842|0.32121729850769043|0.06389975547790527|0.030528545379638672|0.015301227569580078|0.005639791488647461|#8.664934158325195|5.477020263671875|3.3296797275543213|1.3883907794952393|0.9042916297912598|0.17787408828735352|0.03049921989440918|0.014381170272827148|0.006924629211425781|#8.737181425094604|5.471136093139648|3.3521182537078857|1.2003705501556396|0.28620004653930664|0.12739348411560059|0.028903722763061523|0.01460576057434082|#8.863328218460083|5.4440648555755615|3.3253328800201416|0.6582419872283936|0.8506424427032471|0.17657470703125|0.02189159393310547|0.01946258544921875|0.011179447174072266|#8.661533832550049|5.605182409286499|3.0438480377197266|1.1106808185577393|0.43201732635498047|0.04311490058898926|0.022376537322998047|#8.721736907958984|5.5720250606536865|3.12251353263855|1.2368736267089844|0.4193406105041504|0.09847331047058105|0.030847787857055664|0.015240669250488281|0.0066149234771728516|#8.800975561141968|5.4787468910217285|3.107550621032715|1.0493175983428955|0.22649002075195312|0.053882598876953125|0.02524733543395996|0.014505624771118164|#8.723901510238647|5.694842100143433|3.0097312927246094|1.3374717235565186|0.5263614654541016|0.09810400009155273|0.02529120445251465|0.014399051666259766|0.006489276885986328|#8.598612308502197|5.397698879241943|3.205465793609619|1.6163928508758545|0.20713424682617188|0.036530256271362305|0.02392101287841797|#8.75968623161316|5.376657009124756|3.321835994720459|1.8353404998779297|0.6697890758514404|0.12189817428588867|0.03262829780578613|0.016412019729614258|0.007603645324707031|#8.688405752182007|5.323823928833008|3.195727586746216|1.432131052017212|0.406909704208374|0.22005748748779297|0.030474185943603516|0.012735366821289062|#8.689593076705933|5.404103517532349|3.2209649085998535|1.4864685535430908|0.24009180068969727|0.057950735092163086|0.026938676834106445|0.01418304443359375|0.007354259490966797|#8.682495355606079|5.5176708698272705|3.1087422370910645|1.5067617893218994|0.5598771572113037|0.06527423858642578|0.02773904800415039|0.01590442657470703|#8.63834834098816|5.396862506866455|3.0041723251342773|1.4696760177612305|0.35890841484069824|0.13689327239990234|0.029581546783447266|0.012841939926147461|0.006791353225708008|#8.925899505615234|5.725931406021118|2.99291729927063|1.25534987449646|0.2201216220855713|0.062194108963012695|0.02116084098815918|#8.761496305465698|5.42141056060791|2.966360330581665|1.321117639541626|0.3469066619873047|0.06257820129394531|0.027725696563720703|0.017311573028564453|0.005610466003417969|#8.780959844589233|5.35411524772644|2.331725835800171|1.3486826419830322|0.18248438835144043|0.04482078552246094|0.02162790298461914|#8.75856614112854|5.74954628944397|3.1332895755767822|1.7706000804901123|0.34657764434814453|0.13228631019592285|0.03595423698425293|0.012850522994995117|#8.814710855484009|5.4553539752960205|3.1142055988311768|1.9071383476257324|0.511152982711792|0.14521408081054688|0.032991886138916016|0.019385576248168945|0.009693622589111328|#8.878561019897461|5.4610841274261475|2.9295172691345215|1.5351076126098633|0.3227510452270508|0.04906630516052246|0.0217437744140625|0.011567115783691406|#8.85243010520935|5.667258977890015|3.2389798164367676|1.542207956314087|0.391005277633667|0.07119321823120117|0.03586244583129883|0.017525196075439453|0.005836009979248047|#8.739182710647583|5.3833417892456055|3.123203754425049|1.1173255443572998|0.4777657985687256|0.10088443756103516|0.02614283561706543|0.013226032257080078|0.006784677505493164|#8.73556923866272|5.36982798576355|3.1011621952056885|1.6342363357543945|0.19907617568969727|0.09172487258911133|0.02654433250427246|0.01401376724243164|#8.820444822311401|5.320654392242432|3.134753704071045|1.7092304229736328|0.6298825740814209|0.13047289848327637|0.03239083290100098|0.014396429061889648|#8.722900390625|5.610723257064819|2.8747053146362305|1.1675982475280762|0.26936769485473633|0.056406259536743164|0.021181106567382812|0.012995719909667969|#8.812941074371338|5.414650201797485|2.815638303756714|1.3608157634735107|0.24923181533813477|0.07081961631774902|0.02734231948852539|0.012688398361206055|#8.721962451934814|5.36063814163208|2.7264909744262695|1.338855266571045|0.4582037925720215|0.07074332237243652|0.03148031234741211|0.013202190399169922|#8.709208011627197|5.348845958709717|3.251283645629883|1.1501917839050293|0.24627161026000977|0.16257309913635254|0.031305551528930664|0.017912626266479492|0.010398387908935547|#8.75949740409851|5.3458592891693115|3.102820634841919|1.4506990909576416|0.26821136474609375|0.04486393928527832|0.024080276489257812|0.01323080062866211|#8.708855390548706|5.2735595703125|3.060387372970581|1.0877251625061035|#8.789486408233643|5.315609931945801|3.2324438095092773|1.1123223304748535|0.3699147701263428|0.054584503173828125|0.021519899368286133|0.015237569808959961|#8.789937019348145|5.36787486076355|2.8627429008483887|1.4136908054351807|0.3926427364349365|0.05448460578918457|0.02714252471923828|0.01223301887512207|0.006639957427978516|#8.665056705474854|5.357547283172607|3.0652108192443848|1.251309871673584|0.3399934768676758|0.08720183372497559|0.019930124282836914|0.012955427169799805|#8.802151441574097|5.342140197753906|2.7735469341278076|1.0427794456481934|0.2791779041290283|0.04512977600097656|0.02293562889099121|0.013310432434082031|#8.69296145439148|5.441513776779175|3.0819597244262695|1.3429534435272217|0.6745128631591797|0.09498143196105957|0.03232431411743164|0.014816045761108398|#8.79765772819519|5.23503303527832|2.8167757987976074|1.4836297035217285|0.5061554908752441|0.07535219192504883|0.023705244064331055|0.013181209564208984|#8.893133878707886|5.587392330169678|3.316924810409546|1.5389115810394287|0.6515085697174072|0.07941460609436035|0.04886984825134277|0.013622045516967773|0.005502462387084961|#8.775588989257812|5.553561210632324|3.000145435333252|1.650085210800171|0.5366089344024658|0.10410284996032715|0.0282289981842041|0.015435218811035156|#8.726986646652222|5.6112284660339355|3.0061988830566406|1.3220229148864746|0.3478128910064697|0.0818166732788086|0.03029346466064453|0.012820959091186523|#8.739851474761963|5.4746413230896|2.3944272994995117|1.3375966548919678|0.2265172004699707|0.1482985019683838|0.029371023178100586|0.014318227767944336|#8.863544225692749|5.575441598892212|3.2175450325012207|1.4091241359710693|0.20035314559936523|0.06297779083251953|0.02339959144592285|0.014512777328491211|#8.801217555999756|5.571073055267334|3.094848394393921|0.9551799297332764|0.13386178016662598|0.05413341522216797|#8.913573741912842|5.800989151000977|3.1614067554473877|1.4465129375457764|0.20885610580444336|0.042879343032836914|0.02375960350036621|0.013022899627685547|#8.801198482513428|5.484650611877441|3.015561103820801|1.3791451454162598|0.40411925315856934|0.04769420623779297|0.02619338035583496|0.013390541076660156|#8.889133214950562|5.608158826828003|3.3140783309936523|1.4210052490234375|0.4332568645477295|0.060134172439575195|0.02212357521057129|#
J2 : Nombre de victoires, 39
