Nombre de parties total, 30
Nombre de parties nulles, 0
Nombre de tour max, 12
J1 : c, 1.41421
J1 : n_simul, 1000
J1 : Nombre de victoires, 28
J1 : Type de joueur, MonteCarlo
J1 : Temps total de reflexion, 2014.4268703460693
J1 : Temps de reflexion par partie, 108.23381924629211|104.00162887573242|105.76388335227966|105.96051454544067|107.65850639343262|95.9807620048523|92.43211674690247|80.94309663772583|65.969158411026|67.3015730381012|66.94001889228821|65.70092821121216|67.73919582366943|66.01227927207947|75.74960279464722|66.1370177268982|86.51249384880066|80.03232884407043|74.00239586830139|62.729575872421265|75.80061554908752|77.89559006690979|73.8866765499115|71.01401710510254|70.02907466888428|0|0|0|0|0|
J1 : Temps de reflexion par coup, 5.078315734863281e-05|46.95607018470764|21.6238796710968|8.80918574333191|0.0003342628479003906|2.002716064453125e-05|18.706027269363403|8.670606136322021|3.467334508895874|0.00031065940856933594|#3.0994415283203125e-05|46.79843044281006|19.056949615478516|4.2430174350738525|3.97483491897583|0.0002899169921875|2.5510787963867188e-05|18.88652801513672|7.66607928276062|1.7357611656188965|1.6395008563995361|0.00018072128295898438|#2.7894973754882812e-05|44.953898668289185|18.750946283340454|11.193588495254517|2.0265579223632812e-05|18.26959729194641|7.922947883605957|4.672856569290161|#2.6702880859375e-05|44.519718408584595|22.14596199989319|7.720635652542114|0.00020766258239746094|1.811981201171875e-05|18.87575387954712|9.423605680465698|3.2743844985961914|0.00020194053649902344|#2.6941299438476562e-05|44.72579765319824|23.687740325927734|7.563000679016113|0.0002551078796386719|1.6689300537109375e-05|18.636822938919067|9.879579305648804|3.1650891304016113|0.00017762184143066406|#2.5272369384765625e-05|53.169092655181885|25.285534143447876|17.52587342262268|0.00023651123046875|#2.7179718017578125e-05|54.36863970756531|27.290877103805542|10.772291421890259|0.00028133392333984375|#3.0279159545898438e-05|49.66164994239807|24.268751859664917|7.012401580810547|0.00026297569274902344|#0.0006144046783447266|44.042051553726196|21.926172971725464|0.00031948089599609375|#2.7418136596679688e-05|44.85858678817749|18.590275526046753|3.85245680809021|0.00022649765014648438|#3.0040740966796875e-05|44.74168539047241|22.19790291786194|0.000400543212890625|#2.7418136596679688e-05|44.29836320877075|15.710185527801514|5.692013263702393|0.0003387928009033203|#2.765655517578125e-05|45.3050696849823|22.433778762817383|0.0003197193145751953|#3.0994415283203125e-05|44.188002586364746|21.823904752731323|0.0003409385681152344|#2.9087066650390625e-05|44.4693500995636|22.652997493743896|7.189122676849365|1.4378445148468018|0.0002589225769042969|#3.218650817871094e-05|44.311919927597046|21.824739933013916|0.0003256797790527344|#3.075599670410156e-05|46.74974775314331|24.756221532821655|11.853823184967041|2.325554847717285|0.8269643783569336|0.0001513957977294922|#3.504753112792969e-05|46.32788014411926|25.22324013710022|8.48095154762268|0.0002219676971435547|#0.00014066696166992188|44.620240211486816|22.680873155593872|6.700844049453735|0.00029778480529785156|#2.5033950805664062e-05|43.48685550689697|19.24238896369934|0.0003063678741455078|#2.86102294921875e-05|44.64441132545471|23.238272428512573|7.917676687240601|0.00022649765014648438|#3.361701965332031e-05|45.137298345565796|22.240750551223755|10.517078161239624|0.00042939186096191406|#2.7179718017578125e-05|43.85827946662903|21.547176361083984|7.725726127624512|0.7552711963653564|0.00019621849060058594|#2.7179718017578125e-05|43.51464009284973|18.787140607833862|8.711912393569946|0.0002968311309814453|#3.600120544433594e-05|45.05244207382202|24.97624444961548|0.0003521442413330078|######
J2 : Nombre de victoires, 2
J2 : Type de joueur, RandomBot
J2 : Temps total de reflexion, 0.0
J2 : Temps de reflexion par partie, 0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0|0|0|0|0|
J2 : Temps de reflexion par coup, ##############################
