Nombre de parties total, 50
Nombre de parties nulles, 0
Nombre de tour max, 10
J1 : c, 1.41421
J1 : n_simul, 1000
J1 : Nombre de victoires, 27
J1 : Type de joueur, MonteCarlo
J1 : Temps total de reflexion, 1868.005893945694
J1 : Temps de reflexion par partie, 218.92766499519348|140.34796833992004|74.83155012130737|63.4499077796936|68.20545506477356|65.02378487586975|81.5504584312439|73.6061680316925|65.0982460975647|67.01369333267212|67.01169419288635|76.22971606254578|66.04286336898804|72.00595688819885|71.43507385253906|60.68835735321045|75.38584494590759|64.41281509399414|65.66481351852417|66.04425144195557|76.45589327812195|63.74651288986206|60.75126361846924|64.07594037055969|0|0|0|
J1 : Temps de reflexion par coup, 3.9577484130859375e-05|44.32793569564819|20.37632417678833|8.053066730499268|0.00044226646423339844|5.245208740234375e-05|45.216033935546875|20.56626868247986|8.171929359436035|0.0005486011505126953|3.910064697265625e-05|44.06086349487305|20.147751569747925|8.00613284111023|0.00023651123046875|#3.4809112548828125e-05|43.7255973815918|17.93439793586731|4.476655006408691|3.948457717895508|0.0002789497375488281|3.7670135498046875e-05|44.34711289405823|17.91452383995056|4.175682067871094|3.8249588012695312|0.00023126602172851562|#3.0517578125e-05|42.61832785606384|18.615255117416382|11.070083618164062|2.5275142192840576|0.0003387928009033203|#7.510185241699219e-05|43.060548067092896|20.388981342315674|0.0003032684326171875|#3.147125244140625e-05|44.741143226623535|20.251821279525757|3.2122576236724854|0.0002014636993408203|#3.266334533691406e-05|43.91180634498596|21.11148452758789|0.00046133995056152344|#3.504753112792969e-05|44.065662145614624|24.778661489486694|11.121761798858643|1.5841362476348877|0.00020170211791992188|#3.0279159545898438e-05|43.63460087776184|22.96239972114563|7.008788108825684|0.0003490447998046875|#3.4332275390625e-05|43.729225397109985|21.368566036224365|0.0004203319549560547|#3.1948089599609375e-05|43.40678119659424|23.606603622436523|0.0002765655517578125|#3.170967102050781e-05|43.178877115249634|19.930229425430298|3.902344226837158|0.0002117156982421875|#4.076957702636719e-05|44.041054487228394|21.031262397766113|7.9616289138793945|3.1955349445343018|0.000194549560546875|#3.123283386230469e-05|44.81844639778137|21.224072456359863|0.0003132820129394531|#2.9325485229492188e-05|45.01433753967285|20.10431718826294|6.886934757232666|0.0003380775451660156|#7.748603820800781e-05|43.9073703289032|21.262463092803955|6.2648024559021|0.0003604888916015625|#0.0001983642578125|42.625059843063354|18.062787771224976|0.0003113746643066406|#3.123283386230469e-05|42.86747908592224|22.922749280929565|7.268123626708984|2.3272242546081543|0.00023746490478515625|#2.4318695068359375e-05|43.46126055717468|20.951151371002197|0.0003788471221923828|#3.361701965332031e-05|43.535017013549805|22.129470348358154|0.0002925395965576172|#3.552436828613281e-05|42.92228651046753|23.12140130996704|0.0005280971527099609|#3.7670135498046875e-05|43.21190404891968|22.244365215301514|8.715068578720093|2.2842822074890137|0.00023555755615234375|#2.8848648071289062e-05|42.89062023162842|20.85558009147644|0.0002837181091308594|#3.24249267578125e-05|43.35861301422119|17.39228844642639|0.00032973289489746094|#5.626678466796875e-05|43.59918403625488|20.4764347076416|0.00026535987854003906|####
J2 : Nombre de victoires, 0
J2 : Type de joueur, RandomBot
J2 : Temps total de reflexion, 0.0
J2 : Temps de reflexion par partie, 0.0|0.0|0.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
J2 : Temps de reflexion par coup, ###########################
