Nombre de parties total, 5
Nombre de parties nulles, 0
Nombre de tour max, 10
J1 : Pronfondeurs atteintes, 5|5|15|15|#5|5|15|15|#5|4|#5|6|15|15|#5|5|8|15|#
J1 : Nombre de victoires, 5
J1 : Type de joueur, MinMax
J1 : Temps total de reflexion, 557.0763130187988
J1 : Temps de reflexion par partie, 131.60443472862244|94.33519315719604|90.00031590461731|105.60943961143494|135.5269296169281|
J1 : Temps de reflexion par coup, 2.5510787963867188e-05|4.124641418457031e-05|45.00006675720215|45.00022864341736|41.572391986846924|0.03168058395385742|#4.291534423828125e-06|4.076957702636719e-05|45.00010061264038|45.00009274482727|0.0003418922424316406|4.334612846374512|#8.106231689453125e-06|2.9087066650390625e-05|45.00023603439331|45.00004267692566|#7.152557373046875e-06|3.0279159545898438e-05|45.00006818771362|45.00006628036499|15.609090566635132|0.00017714500427246094|#2.384185791015625e-06|2.4080276489257812e-05|45.000054359436035|45.000041484832764|45.00003933906555|0.5267679691314697|#
J2 : Nombre de victoires, 0
J2 : Type de joueur, MonteCarlo
J2 : Temps total de reflexion, 178.53848481178284
J2 : Temps de reflexion par partie, 45.22358322143555|39.0821259021759|32.99310827255249|31.777910232543945|29.46175718307495|
J2 : Temps de reflexion par coup, 21.105872631072998|10.772239446640015|7.939655542373657|3.6082818508148193|1.7975337505340576|#16.484688758850098|10.282533645629883|6.794693470001221|3.209062099456787|2.311147928237915|#16.834304094314575|10.403270483016968|5.755533695220947|#13.901187896728516|9.068228483200073|5.233728408813477|2.263543128967285|1.3112223148345947|#12.898853302001953|8.191442251205444|4.035268783569336|2.7603390216827393|1.5758538246154785|#
